merchant_idx,amount,currency,hour_of_day,recent_event_count,recent_total_amount,historical_avg_amount,label
0,3.3,eur,0,0,0.0,,0
0,7.46,eur,1,0,0.0,3.3,0
0,13.57,eur,1,0,0.0,5.38,0
0,15.36,eur,2,0,0.0,8.11,0
0,10.51,eur,2,0,0.0,9.9225,0
0,8.53,eur,3,0,0.0,10.04,0
0,16.11,eur,3,0,0.0,9.788333333333332,0
0,7.33,eur,4,0,0.0,10.691428571428572,0
0,10.74,eur,4,0,0.0,10.271249999999998,0
0,7.13,eur,5,0,0.0,10.32333333333333,0
0,11.89,eur,5,0,0.0,10.003999999999998,0
0,5.74,eur,6,0,0.0,10.175454545454544,0
0,12.68,eur,6,0,0.0,9.80583333333333,0
0,11.47,eur,7,0,0.0,10.026923076923074,0
0,9.27,eur,8,0,0.0,10.129999999999997,0
0,9.77,eur,8,0,0.0,10.072666666666665,0
0,10.1,eur,8,1,9.77,10.05375,0
0,7.45,eur,9,0,0.0,10.056470588235294,0
0,7.62,eur,10,0,0.0,9.911666666666667,0
0,14.18,eur,10,0,0.0,9.791052631578948,0
0,9.48,eur,11,0,0.0,10.0105,0
0,13.0,eur,12,0,0.0,9.985238095238095,0
0,13.42,eur,12,0,0.0,10.122272727272728,0
0,4.96,eur,13,0,0.0,10.265652173913043,0
0,9.39,eur,13,0,0.0,10.044583333333334,0
0,9.46,eur,14,0,0.0,10.0184,0
0,10.98,eur,14,0,0.0,9.996923076923075,0
0,7.22,eur,14,0,0.0,10.033333333333333,0
0,6.91,eur,15,0,0.0,9.932857142857143,0
0,10.93,eur,15,0,0.0,9.828620689655173,0
1,6.16,ngn,0,0,0.0,,1
1,8.69,ngn,0,0,0.0,6.16,0
1,11.85,ngn,1,0,0.0,7.425,0
1,20.7,ngn,2,0,0.0,8.9,0
1,8.9,ngn,2,0,0.0,11.85,0
1,6.04,ngn,2,0,0.0,11.26,0
1,10.64,ngn,3,0,0.0,10.389999999999999,0
1,10.99,ngn,4,0,0.0,10.425714285714283,0
1,31.89,ngn,4,0,0.0,10.49625,0
1,15.66,ngn,5,0,0.0,12.873333333333333,1
1,21.73,ngn,5,0,0.0,13.152000000000001,0
1,7.9,ngn,5,0,0.0,13.931818181818182,0
1,11.78,ngn,6,0,0.0,13.429166666666667,0
1,12.81,ngn,7,0,0.0,13.302307692307693,0
1,16.75,ngn,7,0,0.0,13.267142857142858,0
1,61.45,ngn,8,0,0.0,13.499333333333334,0
1,4.93,ngn,8,0,0.0,16.49625,0
1,11.63,ngn,9,0,0.0,15.815882352941177,0
1,24.39,ngn,9,0,0.0,15.583333333333334,0
